state,state full name,population (2015),households (2015)
fl,Florida,"20,271,272","7,381,270"
ca,California,"39,144,818","11,639,810"
pa,Pennsylvania,"12,802,503","4,418,190"
tx,Texas,"27,469,114","9,284,760"
ga,Georgia,"10,214,860","2,977,270"
nj,New Jersey,"8,958,013","2,574,770"
il,Illinois,"12,859,995","4,231,140"
nc,North Carolina,"10,042,802","3,160,340"
oh,Ohio,"11,613,423","4,130,020"
mi,Michigan,"9,922,576","3,463,240"
tn,Tennessee,"6,600,299","2,383,180"
mo,Missouri,"6,083,672","2,057,890"
va,Virginia,"8,382,993","2,449,420"
nv,Nevada,"2,890,845","1,013,060"
md,Maryland,"6,006,401","1,604,370"
wi,Wisconsin,"5,771,337","1,956,470"
az,Arizona,"6,828,065","2,076,930"
mn,Minnesota,"5,489,594","1,777,460"
co,Colorado,"5,456,574","1,764,070"
wa,Washington,"7,170,351","2,393,070"
ma,Massachusetts,"6,794,422","2,142,350"
ny,New York,"19,795,791","6,285,820"
in,Indiana,"6,619,680","2,396,920"
sc,South Carolina,"4,896,146","1,575,650"
ne,Nebraska,"1,896,190","650,230"
on,Ontario,"13,800,000","5,200,000"
pr,Puerto Rico,"3,474,182","1,134,000"
la,Louisiana,"4,670,724","1,532,990"
ut,Utah,"2,995,919","816,410"
ms,Mississippi,"2,992,333","953,720"
hi,Hawaii,"1,431,603","487,460"
or,Oregon,"4,028,977","1,193,960"
qc,Québec,"8,260,000","3,370,000"
ab,Alberta,"4,200,000","1,520,000"
nm,New Mexico,"2,085,109","800,000"
ok,Oklahoma,"3,911,338","1,246,880"
ns,Nova Scotia,"943,000","400,000"
al,Alabama,"4,858,979","1,520,920"
